class_index,class_name,support,macroAcc,precision,recall,f1
0,fish_01,2422,0.0,0.0,0.0,0.0
1,fish_02,537,0.0,0.0,0.0,0.0
2,fish_03,719,0.0,0.0,0.0,0.0
3,fish_04,810,0.0,0.0,0.0,0.0
4,fish_05,507,0.0,0.0,0.0,0.0
5,fish_06,38,0.9210526315789473,0.03216911764705882,0.9210526315789473,0.06216696269982238
6,fish_07,90,0.9777777777777777,0.34782608695652173,0.9777777777777777,0.5131195335276968
7,fish_08,44,0.8409090909090909,0.03375912408759124,0.8409090909090909,0.06491228070175438
8,fish_09,48,0.9791666666666666,0.42342342342342343,0.9791666666666666,0.5911949685534591
9,fish_10,60,0.9833333333333333,0.472,0.9833333333333333,0.6378378378378379
10,fish_11,20,1.0,0.21505376344086022,1.0,0.35398230088495575
11,fish_12,29,1.0,0.039780521262002745,1.0,0.07651715039577836
12,fish_13,36,0.9444444444444444,0.16346153846153846,0.9444444444444444,0.2786885245901639
13,fish_14,18,1.0,0.029315960912052116,1.0,0.056962025316455694
14,fish_15,8,0.75,0.021052631578947368,0.75,0.040955631399317405
15,fish_16,41,1.0,0.18222222222222223,1.0,0.3082706766917293
16,fish_17,10,1.0,0.09900990099009901,1.0,0.18018018018018017
17,fish_18,11,1.0,0.20754716981132076,1.0,0.34375
18,fish_19,6,1.0,0.375,1.0,0.5454545454545454
19,fish_20,4,0.75,0.75,0.75,0.75
20,fish_21,3,0.3333333333333333,0.015384615384615385,0.3333333333333333,0.029411764705882353
21,fish_22,8,1.0,0.020151133501259445,1.0,0.03950617283950617
22,fish_23,5,1.0,0.45454545454545453,1.0,0.625
